5,5 
5,15 
5,25 
5,35 
5,45 
5,55 
5,65 
5,75 
5,85 
5,95 
15,5 
15,15 
15,25 
15,35 
15,45 
15,55 
15,65 
15,75 
15,85 
15,95 
25,5 
25,15 
25,25 
25,35 
25,45 
25,55 
25,65 
25,75 
25,85 
25,95 
35,5 
35,15 
35,25 
35,35 
35,45 
35,55 
35,65 
35,75 
35,85 
35,95 
45,5 
45,15 
45,25 
45,35 
45,45 
45,55 
45,65 
45,75 
45,85 
45,95 
55,5 
55,15 
55,25 
55,35 
55,45 
55,55 
55,65 
55,75 
55,85 
55,95 
65,5 
65,15 
65,25 
65,35 
65,45 
65,55 
65,65 
65,75 
65,85 
65,95 
75,5 
75,15 
75,25 
75,35 
75,45 
75,55 
75,65 
75,75 
75,85 
75,95 
85,5 
85,15 
85,25 
85,35 
85,45 
85,55 
85,65 
85,75 
85,85 
85,95 
95,5 
95,15 
95,25 
95,35 
95,45 
95,55 
95,65 
95,75 
95,85 
95,95 
